,Season,Daynum,team1,team2,Wloc,Numot,score_diff,fgm_diff,fga_diff,fgm3_diff,fga3_diff,ftm_diff,fta_diff,or_diff,dr_diff,ast_diff,to_diff,stl_diff,blk_diff,pf_diff,WorL,AdjustO_Diff,AdjustD_Diff,# of Wins_Diff,SOS_DIF,LUCK_DIF,Years Since 2016,Tournament Game
0,2003,19,1119,1181,H,0,0.470588235,0.26666666699999997,0.144927536,0.7142857140000001,0.6315789470000001,0.709677419,0.7173913040000001,0.5,0.033333333,0.27777777800000003,-0.8666666670000001,0.5,0.7142857140000001,-1.214285714,0,-28.8,19.6,-21,-16.37,0.057,3,0
1,2003,21,1172,1181,H,0,0.15625,0.032258065,0.044117647,-0.28571428600000004,-0.15,0.5,0.512820513,0.41176470600000004,0.133333333,0.05,-0.13636363599999998,0.0,0.636363636,-0.380952381,0,-11.9,9.4,-10,-12.39,0.036000000000000004,3,0
2,2003,26,1181,1417,N,0,0.129411765,0.212121212,0.016666667,0.3,0.363636364,-0.5,-0.333333333,-0.41666666700000005,0.0,0.333333333,-0.153846154,0.125,0.0,0.045454545,1,7.8,-10.1,14,-0.09,0.034,3,0
3,2003,29,1181,1326,N,0,0.16304347800000002,0.14285714300000002,0.0,0.181818182,0.208333333,0.17857142899999998,0.27777777800000003,-0.071428571,0.2,0.41176470600000004,-0.28571428600000004,0.222222222,0.2,-0.17391304300000002,1,12.1,-2.4,7,-0.52,-0.083,3,0
4,2003,33,1181,1276,H,0,0.26829268300000003,0.233333333,0.161290323,-0.5,0.21052631600000002,0.47619047600000003,0.424242424,0.352941176,0.08,0.076923077,-0.857142857,0.7333333329999999,0.333333333,-0.166666667,1,6.8,-6.0,7,1.35,-0.054000000000000006,3,0
5,2003,43,1181,1299,N,0,0.36956521700000006,0.14285714300000002,0.152777778,-0.4,0.181818182,0.8235294120000001,0.7173913040000001,0.344827586,0.0,0.0,-1.066666667,0.4375,0.333333333,-0.666666667,1,31.0,-26.9,23,20.51,-0.016,3,0
6,2003,55,1173,1181,H,0,0.127906977,0.0,-0.34042553200000003,0.125,-0.857142857,0.4,0.342105263,-0.666666667,0.260869565,0.36842105299999994,0.21052631600000002,-0.333333333,0.5,-0.17391304300000002,0,1.8,10.8,0,-3.68,0.115,3,0
7,2003,59,1181,1193,H,0,0.32183908,0.17857142899999998,0.14285714300000002,0.75,0.545454545,0.46153846200000004,0.4,0.26666666699999997,0.0625,0.222222222,-0.846153846,0.583333333,0.833333333,-0.086956522,1,16.0,-6.5,5,10.75,-0.11199999999999999,3,0
8,2003,62,1155,1181,A,0,0.2,0.107142857,-0.11320754699999999,0.833333333,0.541666667,0.08,0.0625,-0.727272727,-0.10526315800000001,0.36842105299999994,-0.2,0.545454545,0.5,0.0,0,-8.0,9.7,-9,-3.29,0.055999999999999994,3,0
9,2003,65,1181,1207,H,0,0.074468085,0.0,-0.166666667,0.166666667,-0.058823529000000006,0.28571428600000004,0.37837837799999996,-0.076923077,0.264705882,0.133333333,-0.058823529000000006,-0.125,-0.428571429,-0.083333333,1,8.6,-0.1,9,2.1,0.071,3,0
10,2003,69,1181,1448,H,0,0.253333333,0.17857142899999998,-0.120689655,0.545454545,0.095238095,0.272727273,0.1875,-1.222222222,-0.125,0.578947368,-0.46153846200000004,0.0,0.0,0.0,1,0.5,-3.3,0,1.37,-0.10300000000000001,3,0
11,2003,72,1181,1438,H,0,0.104761905,-0.066666667,-0.050847458,0.5,0.0625,0.263157895,0.024390244,-0.5,0.12,0.111111111,-0.25,-0.4,0.0,-0.222222222,1,6.2,-9.1,10,-0.15,-0.055,3,0
12,2003,75,1181,1268,H,0,0.170454545,-0.074074074,-0.175438596,-0.14285714300000002,-0.4375,0.666666667,0.34375,-0.076923077,0.375,0.444444444,0.058823529000000006,0.2,0.428571429,-0.36842105299999994,0,4.4,2.8,5,0.67,0.048,3,0
13,2003,79,1181,1301,H,0,0.111111111,0.125,-0.14893617,0.1,-0.22727272699999998,0.076923077,0.11428571400000001,-0.875,0.090909091,0.176470588,-0.066666667,-0.14285714300000002,0.5,-0.409090909,0,3.8,-6.5,6,0.63,-0.006999999999999999,3,0
14,2003,82,1181,1210,H,0,0.21739130399999998,0.3125,0.112903226,0.5,0.214285714,-0.12,-0.117647059,0.125,0.37037037,0.5,-0.23076923100000002,0.25,-0.125,-0.037037037,1,6.3,-3.1,10,0.54,0.06,3,0
15,2003,87,1139,1181,H,0,0.24691358,0.20689655199999998,-0.092592593,-0.666666667,-0.6875,0.6,0.5,0.23076923100000002,0.517241379,0.272727273,0.26666666699999997,-0.571428571,0.5,-0.818181818,0,0.3,7.8,0,-6.54,0.10300000000000001,3,0
16,2003,90,1181,1199,H,0,0.065789474,0.161290323,-0.431372549,-2.25,-3.75,0.307692308,0.318181818,-1.111111111,0.419354839,-0.28571428600000004,0.27777777800000003,-0.7142857140000001,0.6,-0.1,0,14.3,-0.4,10,1.15,0.022000000000000002,3,0
17,2003,93,1181,1314,H,0,0.107142857,0.034482759,0.046153846,0.0,0.153846154,0.38888888899999996,0.130434783,0.27777777800000003,0.222222222,-0.071428571,0.117647059,0.41666666700000005,-0.2,0.045454545,1,7.5,-3.9,7,-1.96,-0.054000000000000006,3,0
18,2003,97,1155,1181,H,0,0.151515152,0.090909091,0.206349206,0.0,0.64,0.31578947399999996,0.413793103,0.428571429,-0.304347826,0.23076923100000002,-0.588235294,0.25,0.0,-0.36842105299999994,0,-8.0,9.7,-9,-3.29,0.055999999999999994,3,0
19,2003,101,1181,1448,H,2,0.147368421,0.25,-0.213114754,-0.75,-1.9090909090000001,0.033333333,0.05,-0.25,0.472222222,0.6875,0.32,-2.0,0.166666667,-0.35714285700000004,0,0.5,-3.3,0,1.37,-0.10300000000000001,3,0
20,2003,103,1181,1438,A,0,0.240506329,0.193548387,0.102941176,0.166666667,-0.176470588,0.428571429,0.375,0.28571428600000004,0.09677419400000001,0.0,-0.307692308,0.375,0.28571428600000004,-0.27777777800000003,1,6.2,-9.1,10,-0.15,-0.055,3,0
21,2003,107,1181,1268,H,0,0.065789474,0.172413793,0.144927536,0.125,0.304347826,-0.46153846200000004,-0.15,0.31578947399999996,0.0,-0.384615385,-0.083333333,-0.8,0.571428571,0.045454545,1,4.4,2.8,5,0.67,0.048,3,0
22,2003,110,1181,1301,H,0,0.1375,0.035714286,0.18965517199999998,0.5,0.153846154,0.304347826,0.36666666700000006,0.2,-0.46666666700000003,0.0,-0.923076923,0.428571429,0.333333333,-0.19047619,1,3.8,-6.5,6,0.63,-0.006999999999999999,3,0
23,2003,114,1181,1210,A,0,0.243589744,0.258064516,-0.054545455,0.75,0.5555555560000001,-0.857142857,-0.14285714300000002,-0.1,0.25,0.222222222,0.235294118,0.14285714300000002,0.333333333,0.0,1,6.3,-3.1,10,0.54,0.06,3,0
24,2003,118,1181,1385,H,0,0.01369863,0.0,0.26984127,-1.0,-1.428571429,0.22727272699999998,0.14285714300000002,0.454545455,-0.14285714300000002,-0.375,-0.8888888890000001,0.8,-0.5,-0.086956522,0,,,8,,,3,0
25,2003,122,1181,1199,H,0,0.219178082,0.0,0.035087718999999996,0.0,0.25,0.64,0.448275862,0.176470588,0.291666667,-0.545454545,-0.13636363599999998,0.076923077,-0.166666667,-0.090909091,1,14.3,-0.4,10,1.15,0.022000000000000002,3,0
26,2003,125,1181,1314,H,0,0.036144578,0.029411765,-0.2,0.14285714300000002,-0.5,0.0,0.0625,-0.5,0.208333333,0.15789473699999998,0.26666666699999997,-1.5,0.428571429,-0.15789473699999998,0,7.5,-3.9,7,-1.96,-0.054000000000000006,3,0
27,2003,130,1181,1438,N,0,0.083333333,-0.034482759,0.054545455,0.2,0.35,0.36842105299999994,0.166666667,0.0,-0.1875,0.066666667,-0.25,0.272727273,-1.333333333,-0.1,1,6.2,-9.1,10,-0.15,-0.055,3,0
